to_node from_node   metric  failure_prob
1	8	2114.0	0.0005870787574087017
2	8	2162.0	0.00030266445973054266
3	4	929.0	0.0012857363543997634
3	13	362.0	0.0005922479220412694
3	14	467.0	0.00017605294355241798
4	3	929.0	0.0012857363543997634
4	9	645.0	0.00035360116950130605
5	8	697.0	0.0007636298349138493
6	7	343.0	0.0003164658512648014
6	8	502.0	0.0013110600612737575
7	6	343.0	0.0003164658512648014
7	8	521.0	0.0006998477362612314
8	1	2114.0	0.0005870787574087017
8	2	2162.0	0.00030266445973054266
8	5	697.0	0.0007636298349138493
8	6	502.0	0.0013110600612737575
8	7	521.0	0.0006998477362612314
8	9	621.0	0.001056032026943688
9	4	645.0	0.00035360116950130605
9	8	621.0	0.001056032026943688
9	10	265.0	0.0006049382072463062
9	11	504.0	0.0001614953129734136
10	9	265.0	0.0006049382072463062
10	11	325.0	0.000361548936067451
11	9	504.0	0.0001614953129734136
11	10	325.0	0.000361548936067451
11	12	388.0	4.548887165041347e-05
12	11	388.0	4.548887165041347e-05
12	13	326.0	0.0011947283688017885
12	14	391.0	0.0004199729774690266
13	3	362.0	0.0005922479220412694
13	12	326.0	0.0011947283688017885
13	14	503.0	0.0012687291066573196
14	3	467.0	0.00017605294355241798
14	12	391.0	0.0004199729774690266
14	13	503.0	0.0012687291066573196
14	15	104.0	7.500832143854044e-05
14	16	514.0	0.0005948147204295614
15	14	104.0	7.500832143854044e-05
15	16	465.0	0.001075613764545345
16	14	514.0	0.0005948147204295614
16	15	465.0	0.001075613764545345
16	17	215.0	0.0005302003641808034
17	16	215.0	0.0005302003641808034
17	18	473.0	0.00044533589885337497
18	17	473.0	0.00044533589885337497
